Exercise Name,Target Muscle Group,Exercise Type,Equipment Required,Mechanics,Force Type,Experience Level,Secondary Muscles,Found In Categories,URL
Weighted Russian Twist Video Exercise Guide,Abs,Strength,Other,Isolation,N/A,Intermediate,None,Abs,https://www.muscleandstrength.com/exercises/weighted-side-touches.html
Decline Weighted Sit Up with Twist Video Exercise Guide,Abs,Strength,Dumbbell,Compound,Pull,Intermediate,Lower Back,Abs,https://www.muscleandstrength.com/exercises/decline-dumbbell-situp.html
Lower Abdominal Hip Roll Video Exercise Guide,Abs,Strength,Bodyweight,Isolation,N/A,Beginner,None,Abs,https://www.muscleandstrength.com/exercises/lower-abdominal-hip-roll.html
Exercise Ball Plank Video Exercise Guide,Abs,Strength,Exercise Ball,Compound,Static,Intermediate,Lower Back,Abs,https://www.muscleandstrength.com/exercises/swiss-ball-hover.html
Twisting Crunch Video Exercise Guide,Abs,Strength,Bodyweight,Isolation,Pull,Beginner,None,Abs,https://www.muscleandstrength.com/exercises/twisting-floor-crunch.html
Lying Cable Crunch Video Exercise Guide,Abs,Strength,Cable,Isolation,Pull,Beginner,None,Abs,https://www.muscleandstrength.com/exercises/lying-cable-crunch.html
Decline Weighted Twist Video Exercise Guide,Abs,Strength,Other,Isolation,N/A,Intermediate,"Lower Back, Shoulders",Abs,https://www.muscleandstrength.com/exercises/decline-weighted-twist.html
Jackknife (On Bench) Video Exercise Guide,Abs,Strength,Bodyweight,Compound,N/A,Beginner,None,Abs,https://www.muscleandstrength.com/exercises/bench-jack-knife.html
Weighted Hanging Knee Raise Video Exercise Guide,Abs,Strength,Dumbbell,Compound,Pull,Advanced,Forearms,Abs,https://www.muscleandstrength.com/exercises/weighted-hanging-knee-raise.html
Lying Cable Knee Raise Video Exercise Guide,Abs,Strength,Cable,Compound,Pull,Beginner,None,Abs,https://www.muscleandstrength.com/exercises/lying-cable-knee-raise.html
Lying Alternate Heel Touches Video Exercise Guide,Abs,Strength,Bodyweight,Isolation,Pull (Bilateral),Beginner,None,Abs,https://www.muscleandstrength.com/exercises/lying-heel-touches.html
Decline Bench Knee Raise Video Exercise Guide,Abs,Strength,Bodyweight,Compound,N/A,Beginner,None,Abs,https://www.muscleandstrength.com/exercises/decline-bench-knee-raise.html
Standing Barbell Twist Video Exercise Guide,Abs,Strength,Barbell,Isolation,N/A,Beginner,None,Abs,https://www.muscleandstrength.com/exercises/standing-barbell-twist.html
Lying Leg Raise With Hip Thrust Video Exercise Guide,Abs,Strength,Bodyweight,Compound,N/A,Beginner,None,Abs,https://www.muscleandstrength.com/exercises/lying-leg-raise-with-hip-thrust.html
Decline Bench Alternating Leg Raise Video Exercise Guide,Abs,Strength,Bodyweight,Isolation,N/A,Beginner,None,Abs,https://www.muscleandstrength.com/exercises/decline-bench-alternate-leg-raise.html
Abdominal Pendulum Video Exercise Guide,Abs,Strength,Bodyweight,Isolation,N/A,Beginner,None,Abs,https://www.muscleandstrength.com/exercises/abdominal-pendulum.html
Exercise Ball Weighted Sit up Video Exercise Guide,Abs,Strength,Exercise Ball,Isolation,Pull,Intermediate,None,Abs,https://www.muscleandstrength.com/exercises/weighted-exercise-ball-sit-up.html
Decline Leg Raise With Hip Thrust Video Exercise Guide,Abs,Strength,Bodyweight,Compound,Pull,Beginner,None,Abs,https://www.muscleandstrength.com/exercises/decline-leg-raise-with-hip-thrust.html
Decline Bench Alternating Knee Raise Video Exercise Guide,Abs,Strength,Bodyweight,Compound,N/A,Beginner,None,Abs,https://www.muscleandstrength.com/exercises/decline-bench-alternate-knee-raise.html
Decline Bench Cable Crunch Video Exercise Guide,Abs,Strength,Cable,Isolation,Pull,Beginner,None,Abs,https://www.muscleandstrength.com/exercises/decline-bench-cable-crunch.html
Roman Chair Twisting Knee Raise Video Exercise Guide,Abs,Strength,Bodyweight,Compound,Pull,Intermediate,Hip Flexors,Abs,https://www.muscleandstrength.com/exercises/chair-twisting-knee-raise.html
Lying Alternating Knee Raise Video Exercise Guide,Abs,Strength,Bodyweight,Compound,N/A,Beginner,None,Abs,https://www.muscleandstrength.com/exercises/lying-alternate-knee-raise.html
Barbell Side Bends Video Exercise Guide,Abs,Strength,Barbell,Isolation,N/A,Beginner,Lower Back,Abs,https://www.muscleandstrength.com/exercises/barbell-side-bends.html
Decline Bench Cable Knee Raise Video Exercise Guide,Abs,Strength,Cable,Compound,Pull,Beginner,None,Abs,https://www.muscleandstrength.com/exercises/decline-cable-knee-raise.html
Side Crunch With Leg Lift Video Exercise Guide,Abs,Strength,Bodyweight,Compound,Pull,Beginner,None,Abs,https://www.muscleandstrength.com/exercises/side-crunch-with-leg-lift.html
One-Leg Lying Cable Knee Raise Video Exercise Guide,Abs,Strength,Cable,Compound,Pull,Beginner,None,Abs,https://www.muscleandstrength.com/exercises/one-leg-lying-cable-knee-raise.html
Exercise Ball Hip Roll Video Exercise Guide,Abs,Strength,Exercise Ball,Isolation,Pull,Intermediate,None,Abs,https://www.muscleandstrength.com/exercises/exercise-ball-hip-roll.html
Exercise Ball Knee Tuck Video Exercise Guide,Abs,Strength,Exercise Ball,Compound,Pull,Intermediate,Shoulders,Abs,https://www.muscleandstrength.com/exercises/exercise-ball-leg-tuck.html
Alternating Reach And Catch Video Exercise Guide,Abs,Strength,Bodyweight,Isolation,N/A,Beginner,None,Abs,https://www.muscleandstrength.com/exercises/alternate-reach-and-catch.html
Hip Adduction Machine Video Exercise Guide,Adductors,Strength,Machine,Isolation,Push (Bilateral),Beginner,"Glutes, Hamstrings",Adductors,https://www.muscleandstrength.com/exercises/hip-adduction-machine.html
Cable Hip Adduction Video Exercise Guide,Adductors,Strength,Cable,Isolation,N/A,Beginner,"Glutes, Hamstrings",Adductors,https://www.muscleandstrength.com/exercises/cable-hip-adduction.html
Incline Dumbbell Curl Video Exercise Guide,Biceps,Strength,Dumbbell,Isolation,Pull (Bilateral),Beginner,Forearms,Biceps,https://www.muscleandstrength.com/exercises/incline-dumbbell-curl.html
Standing Barbell Curl Video Exercise Guide,Biceps,Strength,Barbell,Isolation,Pull,Beginner,None,Biceps,https://www.muscleandstrength.com/exercises/standing-barbell-curl.html
Dumbbell Hammer Preacher Curl Video Exercise Guide,Biceps,Strength,Dumbbell,Isolation,Pull,Beginner,Forearms,Biceps,https://www.muscleandstrength.com/exercises/dumbbell-hammer-preacher-curl.html
