url,slug,name,force,grips,mechanic,primary_muscles,secondary_muscles,difficulty,equipment,exercise_type,description,instructions_html,images
https://musclewiki.com/exercise/barbell-behind-the-back-wrist-curl,barbell-behind-the-back-wrist-curl,Barbell Behind The Back Wrist Curl,,,,Forearms,,Intermediate,Bodyweight,Barbell,"Barbell Behind The Back Wrist Curl: A Comprehensive Guide Setup Choose a barbell that is appropriate for your current level of strength Stand with your feet shoulder-width apart and your knees slightly bent Grasp the barbell with both hands and hold it behind your back Make sure your elbows are straight and your palms are facing downwards How to Perform Keeping your elbows straight, slowly lift the barbell towards your wrist Exhale as you lift the weight Pause for a moment at the top of the movement Slowly lower the barbell back to the starting position, inhaling as you do so Repeat for the desired number of repetitions Technique Make sure to keep your elbows straight throughout the entire movement Do not allow your shoulders to shrug during the exercise Keep your wrists in a neutral position, not letting them rotate during the movement Focus on using only your wrist muscles to lift the weight, not your arms or shoulders Things to Avoid Using a weight that is too heavy for your current strength level Allowing your elbows to bend during the movement Shrugging your shoulders during the exercise Letting your wrists rotate during the movement Rushing through the exercise, instead focus on controlled movements",,https://media.musclewiki.com/media/uploads/og-male-barbell-behind-the-back-wrist-curl-front.jpg | https://media.musclewiki.com/media/uploads/og-male-barbell-behind-the-back-wrist-curl-side.jpg
https://musclewiki.com/exercise/barbell-behind-the-neck-press,barbell-behind-the-neck-press,Barbell Behind The Neck Press,Push,Overhand,Compound,Shoulders | Front Shoulders,Triceps,Intermediate,Bodyweight,Barbell,Step-by-step guide for performing Barbell Behind The Neck Press,,https://media.musclewiki.com/media/uploads/og-male-Barbell-barbell-behind-the-neck-press-side.jpg | https://media.musclewiki.com/media/uploads/og-male-Barbell-barbell-behind-the-neck-press-front.jpg
https://musclewiki.com/exercise/barbell-behind-the-neck-seated-overhead-press,barbell-behind-the-neck-seated-overhead-press,Barbell Behind The Neck Seated Overhead Press,Push,Overhand,Compound,Shoulders | Lateral Deltoid | Anterior Deltoid | Front Shoulders,Triceps,Advanced,Bodyweight,Barbell,Step-by-step guide for performing Barbell Behind The Neck Seated Overhead Press,,https://media.musclewiki.com/media/uploads/og-male-Barbell-barbell-behind-the-neck-seated-overhead-press-front.jpg | https://media.musclewiki.com/media/uploads/og-male-Barbell-barbell-behind-the-neck-seated-overhead-press-side.jpg
https://musclewiki.com/exercise/barbell-bench-press,barbell-bench-press,Barbell Bench Press,Push,Overhand,Compound,Chest,Triceps | Lateral Head Triceps | Medial Head Triceps,Intermediate,Bodyweight,Barbell,"Detailed How-To Do Your Work Early (The Setup) Foot Placement You can either be flat footed or just have toes on the ground. Either way, push your toes to generate some tension in your quads. Generating tension through your whole body will help you lift more weight. Torso Technique Point your rib cage at the ceiling and pull your shoulder blades back really hard. Dig your shoulder blades into the bench. This will arch your spine somewhat. This is the only time it is ok to extend your spine. Because you are braced against the bench, the bench will soak up a lot of the tension that would otherwise fall on your lumbar spine. Grip Grip width should be just outside of shoulder width. Make sure the bar is set very deeply in your hands. This will help prevent your wrists from getting extended, which will in run help you handle more weight safely. Performing The Bench Press Un-rack the bar. Break at the elbows and bring the bar toward your rib cage, not chest. The bar path should be an arc like curve. Make sure the bar touches your rib cage before you initiate the concentric. At the top of the rep, extend your elbows but stop short of hyperextending as this could lead to an injury. When the rep is complete, slam the bar back into the rack, then lower into the hooks/cups. Ty's Tips Timing is everything As you perform the eccentric, you want to move under control, but not slowly. I've seen many times a client or friend miss a heavy rep on the bench press because they moved too slowly during the lowering phase. Moving slowly during the eccentric is usually caused by unsureness. Think about it, when you're lifting a heavy weight, and not sure if you are going to complete it, you move slower. Also, try to properly time out when you initiate the press. You should begin pressing back toward the ceiling as the bar is touching your sternum. Lift with confidence always! If you fail the rep, then you failed the rep. No big deal. Just keep it pushing and you'll get it at some point. This leads me to my second tip. No Shame in Asking For Help Don't be hesitant to ask for a spot if you don't have a gym partner. Most people are happy to help. There's research showing that a lifter will perform better with a spotter. Your muscles won't be any stronger with or without a spotter of course. So why the improvement in performance? The confidence alluded to in the how-to section. Knowing someone is there to get the bar if you fail provides the security to allow you to lift with confidence. Just make sure you communicate before starting the set. First, ask them to give you a lift off. I've had many ask me for a spot then say they don't want a lift off. Never quite understood why. In many cases (unless you have very long arms), you will lose your shoulder blade retraction when trying to un-rack the bar. If your arms are mostly extended the only choice you have to un-rack is to protract your shoulder blades. The further you can get your shoulder blades pulled back the better. Retracting the shoulder blades also gives more room in the shoulder joint so it is generally a safer position. Also, let the spotter know how many reps you're going for so they know what to expect and don't jump in too early. Let them know whether or not you want help completing any reps. For example, ""I'm going for 10 reps, but I might fail around 8. If I can't get all the reps by myself, can you help me get the remaining ones?"" Although, I suggest once you hit muscular fatigue, you end your set. Once a muscle hits fatigue, doing additional reps does not induce more muscle growth, but does fatigue you more. Too much risk, not enough reward.",,https://media.musclewiki.com/media/uploads/og-male-barbell-bench-press-front.jpg | https://media.musclewiki.com/media/uploads/og-male-barbell-bench-press-side_KciuhbB.jpg
https://musclewiki.com/exercise/barbell-bent-over-row,barbell-bent-over-row,Barbell Bent Over Row,Pull,Underhand,Compound,Lats,Biceps,Intermediate,Bodyweight,Barbell,"How To Perform The Barbell Row (Supinated) Setting Up Grab your barbell with an underhand/supinated grip. Stay with feet about shoulder width apart or a little more narrow. Push your butt back and hinge at the hips. Make sure you keep your back flat throughout the entirety of this exercise. Before beginning your set, let your elbows fully extend. The closer your torso is to parallel with the ground. The longer the range of motion will be during your row. The more vertical your torso is, the shorter the range of motion. It's extremely important to hinge as far forward as you can without rounding your back and maintaining that torso position for the entire set. Performing Pull your elbows straight back toward the ceiling until the bar touches your torso. The bar should land somewhere between your belly button and your rib cage. Use the cue, ""squeeze the tennis ball."" Imagine you have a tennis ball in your armpits and when you perform each rep try to squeeze that tennis ball. On the eccentric, let your elbows fully extend before initiating the next rep. Ego lifting is very easy to do with the barbell row. If you find yourself having to bounce or use momentum to get the weight from point A to point B, the weight is too heavy. Your torso should maintain its horizontal position for the entire set.",,https://media.musclewiki.com/media/uploads/og-male-barbell-bent-over-row-front.jpg | https://media.musclewiki.com/media/uploads/og-male-barbell-bent-over-row-side.jpg
https://musclewiki.com/exercise/barbell-clean-and-jerk,barbell-clean-and-jerk,Barbell Clean And Jerk,Push,Overhand,Compound,Lower back | Glutes | Front Shoulders,,Advanced,Bodyweight,Barbell,Step-by-step guide for performing Barbell Clean And Jerk,,https://media.musclewiki.com/media/uploads/og-male-Barbell-barbell-clean-and-jerk-front.jpg | https://media.musclewiki.com/media/uploads/og-male-Barbell-barbell-clean-and-jerk-side.jpg
https://musclewiki.com/exercise/barbell-clean-and-press,barbell-clean-and-press,Barbell Clean And Press,Push,Overhand,Compound,Lower back | Glutes | Front Shoulders,,Advanced,Bodyweight,Barbell,Step-by-step guide for performing Barbell Clean And Press,,https://media.musclewiki.com/media/uploads/og-male-Barbell-barbell-clean-and-press-side.jpg | https://media.musclewiki.com/media/uploads/og-male-Barbell-barbell-clean-and-press-front.jpg
https://musclewiki.com/exercise/barbell-conventional-pause-deadlift,barbell-conventional-pause-deadlift,Barbell Conventional Pause Deadlift,Pull,"Overhand, Mixed",Compound,Lower back | Glutes,,Intermediate,Bodyweight,Barbell,Step-by-step guide for performing Barbell Conventional Pause Deadlift,,https://media.musclewiki.com/media/uploads/og-male-Barbell-barbell-conventional-pause-deadlift-side.jpg | https://media.musclewiki.com/media/uploads/og-male-Barbell-barbell-conventional-pause-deadlift-front.jpg
https://musclewiki.com/exercise/barbell-curl,barbell-curl,Barbell Curl,Pull,Underhand,Isolation,Biceps,,Intermediate,Bodyweight,Barbell,"**Detailed How To:** - Grab the barbell with a shoulder width, underhand grip. - Flex at the elbows until your forearms press into your bicep (this will look different from person to person). - Begin to extend your elbows and control the weight during the eccentric part of the exercise. - Make sure to fully extend your elbows at the end of the rep. - Repeat until you hit muscular fatigue (1-3 reps left in the tank) **Ty's Tips** One of the drawbacks with a Barbell Curl is the bar limits Range of Motion somewhat. The bar will hit your legs before you can fully extend your arms. On most exercises, we want the longest Range or Motion possible. To remedy this, Push your butt back a tad bit. This will give you a little more room to fully extend your elbows. Watch out for cheating. Using momentum often naturally happens with a Barbell Curl (and most Dumbbell curl variations). There is a move called the Cheat Curl popularized by Arnold himself. But consider that a separate exercise. Root your feet to the floor and use a mirror to watch your form. If your hips begin moving and you're unable to continue to perform reps without any hip movement, end the set. A 6-12 rep range works well for this exercise.",,https://media.musclewiki.com/media/uploads/og-male-Barbell-barbell-curl-front.jpg | https://media.musclewiki.com/media/uploads/og-male-Barbell-barbell-curl-side.jpg
https://musclewiki.com/exercise/barbell-deadlift,barbell-deadlift,Barbell Deadlift,Pull,"Overhand, Mixed",Compound,Traps (mid-back) | Lower back,Glutes,Intermediate,Bodyweight,Barbell,"Ty's Tips My Deadlift, Not Yours The deadlift involves many muscles, all of your limbs, and every load-bearing joint (ankles, knees, hips and shoulders) in your body. There are a lot of variables at play. So having hard-and-fast rules about deadlift form is nearly impossible. Your body is your body. That seems like an obvious fact, yet it’s one that’s often overlooked when it comes to form. For example, two people who are the same height may have totally different torso and femur lengths. A person who has a short torso and long femurs will have a more hip-dominant pull, meaning that their butt will be higher in the air and most of the force will come from their glutes and hamstrings. Meanwhile, a person who has a long torso and short femurs would be able to get lower and involve their quads a bit more. Detailed How To #1. Your stance Conventional Deadlift Foot Placement: You can start with your feet shoulder-width apart. If you’re not sure where this is, try this: Jump in the air 2-3 times. Where your feet land naturally is the proper stance for the conventional deadlift. Your toes should point forward or outward slightly. Set up so that the bar is about an inch to an inch-and-a-half from your shins. When you look down at the bar, it should be positioned right about the middle of your foot, blocking the laces of your shoes from view. #2. Your grip Figuring out where to place your hands is quite simple. Just take a shoulder-width grip. Choosing how to grip the bar is a little more complicated, and may change throughout your workout. There are three main options: Option #1: The double-overhand grip. This is the “best” grip most of the time. As you increase the amount of weight you can deadlift, you’ll eventually reach a weight where your grip strength becomes an issue. That’s when mixed grip comes in… Option #2: The mixed grip. Also known as “one overhand, one underhand” grip, this style allows you to pull heavier weights more easily. Option #3: The hook grip. This grip is not very popular and for good reason—it hurts, but it’s not without benefits. The idea behind the hook grip is that you can use more weight than a double-overhand grip, since your thumbs act as hooks for the bar. But here’s the thing: Much of the weight ends up pulling on your thumbs. The stress this places on the tissue, bones, and joints of your thumbs does not feel good. One way people attempt to eliminate the grip problem altogether is to use straps. Executing the Deadlift You really only need to think about two things when you pull the bar: Push off the floor Keep everything tight (especially your core and lats) During a conventional deadlift, if you are thinking about “pushing the floor away,” it will help you generate tension throughout your hips and knees. Keeping your core, arms, and lats engaged will help you avoid rounding your spine, which is dangerous. DO NOT ROUND YOUR SPINE. When you reach the top of the rep, known as lockout, be careful Some people seem to think that “locking out” means “leaning back,” but nothing could be further from the truth. Doing that hyperextends your knees and spine, which can compress those all-important spinal discs between your vertebrae. DO NOT HYPEREXTEND YOUR SPINE. The goal, really, is to just stand up.",,https://media.musclewiki.com/media/uploads/og-male-Barbell-barbell-deadlift-front.jpg | https://media.musclewiki.com/media/uploads/og-male-Barbell-barbell-deadlift-side.jpg
https://musclewiki.com/exercise/barbell-drag-curl,barbell-drag-curl,Barbell Drag Curl,Pull,Underhand,Isolation,Biceps | Long Head Bicep | Short Head Bicep,,Intermediate,Bodyweight,Barbell,Step-by-step guide for performing Barbell Drag Curl,,https://media.musclewiki.com/media/uploads/og-male-Barbell-barbell-drag-curl-side.jpg | https://media.musclewiki.com/media/uploads/og-male-Barbell-barbell-drag-curl-front.jpg
https://musclewiki.com/exercise/barbell-feet-elevated-staggered-glute-bridge,barbell-feet-elevated-staggered-glute-bridge,Barbell Feet Elevated Staggered Glute Bridge,Push,"Overhand, Mixed",Compound,Glutes,,Intermediate,Bodyweight,Barbell,Step-by-step guide for performing Barbell Feet Elevated Staggered Glute Bridge,,https://media.musclewiki.com/media/uploads/og-male-barbell-feet-elevated-staggered-glute-bridge-front.jpg | https://media.musclewiki.com/media/uploads/og-male-barbell-feet-elevated-staggered-glute-bridge-side.jpg
https://musclewiki.com/exercise/barbell-figure-four-hip-thrust,barbell-figure-four-hip-thrust,Barbell Figure Four Hip Thrust,Push,None,Compound,Glutes,,Intermediate,Bodyweight,Barbell,Step-by-step guide for performing Barbell Figure Four Hip Thrust,,https://media.musclewiki.com/media/uploads/og-male-Barbell-barbell-figure-four-hip-thrust-front.jpg | https://media.musclewiki.com/media/uploads/og-male-Barbell-barbell-figure-four-hip-thrust-side.jpg
https://musclewiki.com/exercise/barbell-front-rack-step-up-knee-drive,barbell-front-rack-step-up-knee-drive,Barbell Front Rack Step Up Knee Drive,Push,Overhand,Compound,Quads,Glutes,Intermediate,Bodyweight,Barbell,Step-by-step guide for performing Barbell Front Rack Step Up Knee Drive,,https://media.musclewiki.com/media/uploads/og-male-Barbell-barbell-front-rack-step-up-knee-drive-front.jpg | https://media.musclewiki.com/media/uploads/og-male-Barbell-barbell-front-rack-step-up-knee-drive-side.jpg
https://musclewiki.com/exercise/barbell-front-squat-with-straps,barbell-front-squat-with-straps,Barbell Front Squat With Straps,Push,Neutral,Compound,Glutes | Quads,,Intermediate,Bodyweight,Barbell,Step-by-step guide for performing Barbell Front Squat With Straps,,https://media.musclewiki.com/media/uploads/og-male-Barbell-barbell-front-squat-with-straps-side.jpg | https://media.musclewiki.com/media/uploads/og-male-Barbell-barbell-front-squat-with-straps-front.jpg
https://musclewiki.com/exercise/barbell-guillotine-high-incline-bench-press,barbell-guillotine-high-incline-bench-press,Barbell Guillotine High Incline Bench Press,Push,Overhand,Compound,Chest,Triceps,Advanced,Bodyweight,Barbell,Step-by-step guide for performing Barbell Guillotine High Incline Bench Press,,https://media.musclewiki.com/media/uploads/og-male-Barbell-barbell-guillotine-high-incline-bench-press-side.jpg | https://media.musclewiki.com/media/uploads/og-male-Barbell-barbell-guillotine-high-incline-bench-press-front.jpg
